team_id,school name,full school name,nickname,conference,place,reg
20358,Pittsburgh,University of Pittsburgh,Panthers,Atlantic Coast Conference,"Pittsburgh,Pennsylvania",PA
20186,Portland,University of Portland,Pilots,West Coast Conference,"Portland,Oregon",OR
20771,Prairie View A&M,Prairie View A&M University,Panthers,Southwest Athletic Conference,"Prairie View,Texas",TX
21656,Presbyterian,Presbyterian College,Blue Hose,Big South Conference,"Clinton,South Carolina",SC
20326,Princeton,Princeton University,Tigers,Ivy League,"Princeton,New Jersey",NJ
20417,Purdue,Purdue University,Boilermakers,Big Ten Conference,"West Lafayette,Indiana",IN
22025,Purdue Fort Wayne,Indiana University-Purdue University-Fort Wayne,Mastadons,Horizon League,"Fort Wayne,Indiana",IN
20288,Quinnipiac,Quinnipiac University,Bobcats,Metro Atlantic Athletic Conference,"Hamden,Connecticut",CT
20606,Radford,Radford University,Highlanders,Big South Conference,"Radford,Virginia",VA
20466,Rhode Island,University of Rhode Island,Rams,Atlantic 10 Conference,"Kingston,Rhode Island",RI
20032,Rice,Rice University,Owls,Conference USA,"Houston,Texas",TX
20092,Richmond,University of Richmond,Spiders,Atlantic 10 Conference,"Richmond,Virginia",VA
20739,Rider,Rider University,Broncs,Metro Atlantic Athletic Conference,"Lawrenceville,New Jersey",NJ
20097,Rutgers,Rutgers University,Scarlett Knights,Big Ten Conference,"New Brunswick,New Jersey",NJ
20419,Sacramento State,Sacramento State,Hornets,Western Athletic Conference,"Sacramento,California",CA
20610,Sacred Heart,Sacred Heart University,Pioneers,Northeast Conference,"Fairfield,Connecticut",CT
20218,Saint Joseph's,Saint Joseph's University,Hawks,Atlantic 10 Conference,"Philadelphia,Pennsylvania",PA
20500,Saint Louis,Saint Louis University,Billikens,Atlantic 10 Conference,"St. Louis,Missouri",MO
20258,Sam Houston State,Sam Houston State University,Bearkats,Southland Conference,"Huntsville,Texas",TX
20053,Samford,Samford University,Bulldogs,Southern Conference,"Birmingham,Alabama",AL
20187,San Diego,University of San Diego,Toreros,West Coast Conference,"San Diego,California",CA
20001,San Diego State,San Diego State University,Aztecs,Mountain West Conference,"San Diego,California",CA
20325,San Francisco,University of San Francisco,Dons,West Coast Conference,"San Francisco,California",CA
20161,San Jose State,San Jose State University,Spartans,Mountain West Conference,"San Jose,California",CA
20296,Santa Clara,Santa Clara University,Broncos,West Coast Conference,"Santa Clara,California",CA
21265,Seattle,Seattle University,Redhawks,Western Athletic Conference,"Seattle,Washington",WA
20165,Seton Hall,Seton Hall University,Pirates,Big East Conference,"South Orange,New Jersey",NJ
20615,Siena,Siena College,Saints,Metro Atlantic Athletic Conference,"Loudonville,New York",NY
20190,SIU-Edwardsville,Southern Illinois University-Edwardsville,Cougars,Ohio Valley Conference,"Edwardsville,Illinois",IL
20009,South Alabama,University of South Alabama,Jaguars,Sun Belt Conference,"Mobile,Alabama",AL
20091,South Carolina,University of South Carolina,Gamecocks,Southeastern Conference,"Columbia,South Carolina",SC
20425,South Dakota State,South Dakota State University,Jackrabbits,Summit League,"Brookings,South Dakota",SD
20353,South Florida,University of South Florida,Bulls,American Athletic Conference,"Tampa,Florida",FL
20245,Southeast Missouri State,Southeast Missouri State University,Redhawks,Ohio Valley Conference,"Cape Girardeau,Missouri",MO
20294,Southeastern Louisiana,Southeastern Louisiana University,Lions,Southland Conference,"Hammond,Louisiana",LA
20428,Southern,Southern University,Jaguars,Southwest Athletic Conference,"Baton Rouge,Louisiana",LA
20005,Southern Illinois,Southern Illinois University,Salukis,Missouri Valley Conference,"Carbondale,Illinois",IL
20049,Southern Miss,University of Southern Mississippi,Golden Eagles,Conference USA,"Hattiesburg,Mississippi",MS
20734,St. Bonaventure,St. Bonaventure University,Bonnies,Atlantic 10 Conference,"Allegany,New York",NY
20036,St. John's,St. John's University,Red Storm,Big East Conference,"New York,New York",NY
20217,St. Mary's CA,St. Mary's College of California,Gaels,West Coast Conference,"Moraga,California",CA
21092,St. Peter's,Saint Peter's University,Peacocks,Metro Atlantic Athletic Conference,"Englewood Cliffs,New Jersey",NJ
20039,Stanford,Stanford University,Cardinal,Pacific-12 Conference,"Stanford,California",CA
20429,Stephen F. Austin,Stephen F. Austin University,Jacks,Southland Conference,"Nacogdoches,Texas",TX
20307,Stetson,Stetson University,Hatters,Atlantic Sun Conference,"DeLand,Florida",FL
20631,Stony Brook,Stony Brook University,Seawolves,America East Conference,"Stony Brook,New York",NY
20015,Tennessee,University of Tennessee,Volunteers,Southeastern Conference,"Knoxville,Tennessee",TN
20249,Tennessee Tech,Tennessee Technological University,Golden Eagles,Ohio Valley Conference,"Cookeville,Tennessee",TN
22297,Tennessee-Martin,University of Tennessee-Martin,Skyhawks,Ohio Valley Conference,"Martin,Tennessee",TN
20193,Texas,University of Texas,Longhorns,Big 12 Conference,"Austin,Texas",TX
20023,Texas A&M,Texas A&M University,Aggies,Southeastern Conference,"College Station,Texas",TX
22240,Texas A&M Corpus Christi,Texas A&M University-Corpus Christi,Islanders,Southland Conference,"Corpus Christi,Texas",TX
20433,Texas Christian,Texas Christian University,Horned Frogs,Big 12 Conference,"Fort Worth,Texas",TX
20434,Texas Southern,Texas Southern University,Tigers,Southwest Athletic Conference,"Houston,Texas",TX
20016,Texas State,Texas State University,Bobcats,Sun Belt Conference,"San Marcos,Texas",TX
20169,Texas Tech,Texas Tech University,Red Raiders,Big 12 Conference,"Lubbock,Texas",TX
20262,Toledo,University of Toledo,Rockets,Mid-American Conference,"Toledo,Ohio",OH
